,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,writh,signature,13-crossing knots,kfh
2276,13nh_2277,99,16.5337926759702,99,22,7,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-2, -3): 6, (-1, -2): 25, (0, -1): 37, (1, 0): 25, (2, 1): 6}, 'seifert_genus': 2, 'tau': 1, 'total_rank': 99}"
2277,13nh_2278,99,16.5337926759702,99,22,7,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-2, -3): 6, (-1, -2): 25, (0, -1): 37, (1, 0): 25, (2, 1): 6}, 'seifert_genus': 2, 'tau': 1, 'total_rank': 99}"
2278,13nh_2279,107,16.5341853098674,107,14,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-5, -6): 1, (-4, -5): 4, (-3, -4): 8, (-2, -3): 13, (-1, -2): 18, (0, -1): 19, (1, 0): 18, (2, 1): 13, (3, 2): 8, (4, 3): 4, (5, 4): 1}, 'seifert_genus': 5, 'tau': 1, 'total_rank': 107}"
2279,13nh_2280,131,16.5361372656919,131,-6,-9,6,Non-alternating,"{'L_space_knot': False, 'epsilon': -1, 'fibered': True, 'modulus': 2, 'nu': -2, 'ranks': {(-4, -1): 1, (-3, 0): 8, (-2, 1): 18, (-1, 2): 25, (0, 3): 27, (1, 4): 25, (2, 5): 18, (3, 6): 8, (4, 7): 1}, 'seifert_genus': 4, 'tau': -3, 'total_rank': 131}"
2280,13nh_2281,133,16.5389101591677,133,22,9,-4,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 2, 'ranks': {(-3, -5): 3, (-2, -4): 16, (-1, -3): 30, (0, -2): 35, (1, -1): 30, (2, 0): 16, (3, 1): 3}, 'seifert_genus': 3, 'tau': 2, 'total_rank': 133}"
2281,13nh_2282,75,16.5403934687628,43,16,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 2, (-3, -3): 1, (-2, -3): 8, (-2, -2): 3, (-1, -2): 13, (-1, -1): 3, (0, -1): 13, (0, 0): 2, (1, 0): 13, (1, 1): 3, (2, 1): 8, (2, 2): 3, (3, 2): 2, (3, 3): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 75}"
2282,13nh_2283,75,16.5403934687628,43,16,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 1, (-2, -3): 6, (-2, -2): 1, (-1, -2): 14, (-1, -1): 4, (0, -1): 17, (0, 0): 6, (1, 0): 14, (1, 1): 4, (2, 1): 6, (2, 2): 1, (3, 2): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 75}"
2283,13nh_2284,79,16.5471563028263,63,18,5,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 1, (-3, -5): 1, (-3, -4): 4, (-2, -4): 2, (-2, -3): 8, (-1, -3): 1, (-1, -2): 14, (0, -1): 17, (1, -1): 1, (1, 0): 14, (2, 0): 2, (2, 1): 8, (3, 1): 1, (3, 2): 4, (4, 3): 1}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 79}"
2284,13nh_2285,95,16.5481887239985,95,16,5,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 1, (-2, -3): 8, (-1, -2): 23, (0, -1): 31, (1, 0): 23, (2, 1): 8, (3, 2): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 95}"
2285,13nh_2286,97,16.5486269553853,97,12,-1,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 2, (-2, -2): 10, (-1, -1): 22, (0, 0): 29, (1, 1): 22, (2, 2): 10, (3, 3): 2}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 97}"
2286,13nh_2287,87,16.5487491968752,87,12,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 2, (-2, -3): 9, (-1, -2): 20, (0, -1): 25, (1, 0): 20, (2, 1): 9, (3, 2): 2}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 87}"
2287,13nh_2288,127,16.5505665480462,127,18,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 1, (-3, -4): 5, (-2, -3): 14, (-1, -2): 27, (0, -1): 33, (1, 0): 27, (2, 1): 14, (3, 2): 5, (4, 3): 1}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 127}"
2288,13nh_2289,145,16.5509754773246,145,26,9,-4,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 2, 'ranks': {(-3, -5): 2, (-2, -4): 14, (-1, -3): 34, (0, -2): 45, (1, -1): 34, (2, 0): 14, (3, 1): 2}, 'seifert_genus': 3, 'tau': 2, 'total_rank': 145}"
2289,13nh_2290,91,16.5518068723695,91,12,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-5, -6): 1, (-4, -5): 4, (-3, -4): 8, (-2, -3): 11, (-1, -2): 14, (0, -1): 15, (1, 0): 14, (2, 1): 11, (3, 2): 8, (4, 3): 4, (5, 4): 1}, 'seifert_genus': 5, 'tau': 1, 'total_rank': 91}"
2290,13nh_2291,91,16.5567709953069,91,16,5,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 1, (-2, -3): 7, (-1, -2): 22, (0, -1): 31, (1, 0): 22, (2, 1): 7, (3, 2): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 91}"
2291,13nh_2292,111,16.5596243126058,111,14,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-5, -6): 1, (-4, -5): 4, (-3, -4): 9, (-2, -3): 14, (-1, -2): 18, (0, -1): 19, (1, 0): 18, (2, 1): 14, (3, 2): 9, (4, 3): 4, (5, 4): 1}, 'seifert_genus': 5, 'tau': 1, 'total_rank': 111}"
2292,13nh_2293,111,16.5596243126058,111,14,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-5, -6): 1, (-4, -5): 4, (-3, -4): 9, (-2, -3): 14, (-1, -2): 18, (0, -1): 19, (1, 0): 18, (2, 1): 14, (3, 2): 9, (4, 3): 4, (5, 4): 1}, 'seifert_genus': 5, 'tau': 1, 'total_rank': 111}"
2293,13nh_2294,99,16.5601915872162,99,12,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 1, (-3, -4): 6, (-2, -3): 14, (-1, -2): 19, (0, -1): 19, (1, 0): 19, (2, 1): 14, (3, 2): 6, (4, 3): 1}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 99}"
